CompAA_nuCelprot,hydrophathy_index_,NEIG_index,KD_Hydrophobicity,Modified_KD_hydrophob_scale,solubility_index,Partition_coeff,basic_aa_count,charge_value,positive_charge,Polarity,nHbondDonors,instability_index,pI,8AcontactNumber,percentExposedResidues,FreeEnergySolutionWater,pK(_COOH),SideChainHydropathyCorrectSolvation,Avrg_FlexibilityIndices,peptide_disorder_percentage,Citrullination_aa_count,msd
5.577777778,-1.422222222,48.40111111,-12.8,-1.643333333,-1.422222222,-2.977777778,1,0.580793338,0.111111111,7.201111111,1,62.35555556,6.185555556,-0.215555556,40,0.398888889,2.123333333,0.442222222,0.460555556,55.55555556,0,1
5.577777778,-1.422222222,48.40111111,-12.8,-1.643333333,-1.422222222,-2.977777778,1,0.580793338,0.111111111,7.201111111,1,62.35555556,6.185555556,-0.215555556,40,0.398888889,2.123333333,0.442222222,0.460555556,55.55555556,0,1
4.777777778,-1,49.10333333,-9,-1.067777778,-1,-2.816666667,3,0.628200157,0.333333333,17.95666667,1,74.58888889,6.546666667,-0.164444444,35.66666667,0.106555556,2.066666667,0.261111111,0.408666667,66.66666667,0,1
7.211111111,-0.977777778,48.60555556,-8.8,-1.078888889,-0.977777778,-3.033333333,2,1.530418789,0.222222222,12.35888889,1.111111111,115.3333333,6.727777778,-0.27,38.33333333,-0.075555556,2.007777778,0.201111111,0.463555556,55.55555556,1,1
6.077777778,0.322222222,50.63555556,2.9,0.232222222,0.322222222,-2.325555556,3,1.591548598,0.333333333,17.48333333,1,5.9,6.988888889,0.273333333,34.33333333,0.478888889,2.052222222,-0.623333333,0.395,33.33333333,1,1
5.688888889,-0.444444444,49.00222222,-4,-0.621111111,-0.444444444,-2.79,2,-0.357630369,0.222222222,17.38666667,0.777777778,-9.977777778,6.103333333,-0.131111111,34.44444444,0.375777778,2.14,-0.028888889,0.421111111,55.55555556,0,1
6.266666667,-1.644444444,48.09,-14.8,-1.851111111,-1.644444444,-2.942222222,3,2.527913196,0.333333333,17.66222222,1.111111111,57.07777778,7.242222222,-0.321111111,45.11111111,-0.167222222,1.967777778,0.274444444,0.473,44.44444444,1,1
6.722222222,-0.922222222,49.77,-8.3,-1.094444444,-0.922222222,-2.743333333,3,2.554897038,0.333333333,17.89555556,1.555555556,51.68888889,7.38,0.065555556,41,0.094444444,2.035555556,0.414444444,0.437444444,44.44444444,2,1
5.222222222,0.766666667,51.17888889,6.9,0.72,0.766666667,-2.411111111,3,1.589068123,0.333333333,17.13444444,0.666666667,-3.744444444,6.932222222,0.334444444,34.77777778,0.368777778,2.213333333,-0.72,0.399222222,33.33333333,0,1
6.988888889,-0.2,49.50333333,-1.8,-0.384444444,-0.2,-2.765555556,3,2.248192009,0.333333333,17.15111111,1,35.67777778,7.285555556,0.006666667,38.22222222,-0.035555556,2.154444444,0.152222222,0.435,33.33333333,1,1
5.244444444,-0.122222222,50.18,-1.1,-0.178888889,-0.122222222,-2.564444444,3,0.593898111,0.333333333,17.55444444,0.666666667,-3.744444444,6.715555556,0.133333333,34,-0.040888889,2.112222222,-0.592222222,0.405111111,44.44444444,0,1
5.488888889,-1.355555556,49.23333333,-12.2,-1.533333333,-1.355555556,-2.85,2,0.56704523,0.222222222,12.76666667,1,49.56666667,6.527777778,-0.075555556,37,0.337555556,1.933333333,0.24,0.440333333,66.66666667,1,1
